0.8907912447,0.8954281947,0.9158331420,0.9159144384
-18.0576943495,-12.0633513422,-30.9892710504,-30.9299762147
0.0471933726,0.0513761664,0.0402539211,0.0402857408
-0.0000000000,-0.0000000000,0.0000000000,0.0000000000
-0.0000000000,-0.0000000000,0.0000000000,0.0000000000
-0.0000000000,-0.0000000000,0.0000000000,0.0000000000
0.0413161165,0.0413161165,0.0414115938,0.0414115938
0.0819616146,0.0414329299,0.0823040779,0.0414583018
0.2429830263,0.2383456961,0.2448075485,0.2390884341
1.0540135667,0.9315323203,-0.3320261023,-0.2205534121
3.9263024567,4.3138147193,0.0987216739,0.2224932629
9.7895320729,8.7360647323,0.2704027197,0.3480253118
17.2557010640,12.5209573281,0.6286989604,0.5584519394
50.4726367070,49.1118636540,2.6474637503,6.7257374738
174.9517715568,149.4261132951,14.1692268147,-143.9574784109
312.3678140323,358.2214096885,1226.5272016077,1833.1728635643
129.3839756771,48.8671568162,1005.3295669460,452.4167962968
